Claim,Source,Node,Edge,Label
Juventus F.C. is the second oldest association football (soccer) club engaged in professional competition.,response,clubs,Queen's Park F.C.,include
The second oldest association football (soccer) club in Italy is Juventus F.C.,wiki,who,Giovanni Trapattoni,led
The second oldest association football (soccer) club in Italy is Juventus F.C.,wiki,club,first,become
The second oldest association football (soccer) club in Italy is Juventus F.C.,wiki,who,Giovanni Trapattoni,led
The second oldest association football (soccer) club in Italy is Juventus F.C.,wiki,club,first,become
The second oldest association football (soccer) club in Italy is Juventus F.C.,response,>,Generate,Generate
The second oldest association football (soccer) club in Italy is Juventus F.C.,response,Statement,Juventus F.C.,is
The second oldest association football (soccer) club in Italy is Juventus F.C.,response,statement,Juventus F.C.,is
The second oldest association football (soccer) club in Italy is Juventus F.C.,response,club,Genoa C.F.C.,is
AMGTV is a television network that is family-oriented.,wiki,president,Terry Elaqua,is
AMGTV is a television network that is family-oriented.,wiki,president,Terry Elaqua,is
AMGTV is a television network that is family-oriented.,response,>,Generate,Generate
AMGTV has programming.,wiki,president,Terry Elaqua,is
AMGTV has programming.,wiki,president,Terry Elaqua,is
AMGTV has programming.,response,>,Generate,Generate
AMGTV has programming.,response,Some,1,include
AMGTV has programming.,response,that,Modern Family,explores
AMGTV has programming.,response,that,South Park,follows
AMGTV has programming.,response,NCIS,People's Choice Awards,won
AMGTV has sports television programming.,wiki,president,Terry Elaqua,is
AMGTV has sports television programming.,wiki,president,Terry Elaqua,is
AMGTV has sports television programming.,response,>,Generate,Generate
AMGTV is a network.,wiki,president,Terry Elaqua,is
AMGTV is a network.,wiki,president,Terry Elaqua,is
AMGTV is a network.,response,>,Generate,Generate
AMGTV is a network.,response,which,Ford,provides
AMGTV is a network.,response,which,General Motors,provides
AMGTV is a network.,response,which,BMW,provides
AMGTV has drama television programming.,wiki,president,Terry Elaqua,is
AMGTV has drama television programming.,wiki,president,Terry Elaqua,is
AMGTV has drama television programming.,response,>,Generate,Generate
AMGTV has drama television programming.,response,One,"""The Heart of Dixie",is
AMGTV has drama television programming.,response,that,"""The Heart of Dixie",follows
AMGTV is an American family-oriented television network.,wiki,president,Terry Elaqua,is
AMGTV is an American family-oriented television network.,wiki,president,Terry Elaqua,is
AMGTV is an American family-oriented television network.,response,>,Generate,Generate
AMGTV is an American family-oriented television network.,response,One,The Adventures of,is
AMGTV is an American family-oriented television network.,response,that,The Adventures of,follows
AMGTV is an American family-oriented television network.,response,they,The Adventures of,learn
AMGTV is an American family-oriented television network.,response,shows,Superbook,include
AMGTV is an American family-oriented television network.,response,that,Superbook,brings
AMGTV has entertainment television programming.,wiki,president,Terry Elaqua,is
AMGTV has entertainment television programming.,wiki,president,Terry Elaqua,is
AMGTV has entertainment television programming.,response,>,Generate,Generate
AMGTV has entertainment television programming.,response,network,"""The Bachelor",airs
AMGTV is an American television network.,wiki,president,Terry Elaqua,is
AMGTV is an American television network.,wiki,president,Terry Elaqua,is
AMGTV is an American television network.,response,>,Generate,Generate
Entourage (film) was released in a specific year.,response,>,Generate,Generate
Entourage (film) is a film that grossed over $49 million dollars.,response,>,Generate,Generate
Entourage (film) is a film that grossed over $49 million dollars.,response,that,$49 million dollars,grossed
Entourage (film) is a film that grossed over $49 million dollars.,response,it,$49 million dollars,grossed
Entourage (film) is a film that grossed over $49 million dollars.,response,film,Adrian Grenier,stars
Entourage (film) is a film that grossed over $49 million dollars.,response,who,Kevin Connolly,reprise
Entourage (film) is a film that grossed over $49 million dollars.,response,who,Jerry Ferrara,reprise
Entourage (film) is a film that grossed over $49 million dollars.,response,film,an additional $12.6 million,grossed
Entourage (film) is a film that grossed over $49 million dollars.,response,Entourage,$49 million dollars,grossed
Entourage (film) was released on a day.,response,>,Generate,Generate
"Entourage (film) was released on June 3rd, 2015.",response,>,Generate,Generate
Luke Cage is a superhero who worked for hire and teamed up with additionally superheroes like Iron Fist and Jessica Jones.,wiki,Bendis,Luke Cage,added
Luke Cage is a superhero who worked for hire and teamed up with additionally superheroes like Iron Fist and Jessica Jones.,wiki,Bendis,Luke Cage,added
Luke Cage is a superhero who worked for hire and teamed up with additionally superheroes like Iron Fist and Jessica Jones.,response,>,Generate,Generate
Luke Cage is a superhero who worked for hire and teamed up with additionally superheroes like Iron Fist and Jessica Jones.,response,which,Shou-Lao,grants
"Luke Cage appeared in a comic book series Luke Cage, Hero for Hire.",wiki,Bendis,Luke Cage,added
"Luke Cage appeared in a comic book series Luke Cage, Hero for Hire.",wiki,Bendis,Luke Cage,added
"Luke Cage appeared in a comic book series Luke Cage, Hero for Hire.",response,>,Generate,Generate
Luke Cage is a superhero.,wiki,Bendis,Luke Cage,added
Luke Cage is a superhero.,wiki,Bendis,Luke Cage,added
Luke Cage is a superhero.,response,>,Generate,Generate
Luke Cage was featured as a protagonist in creative work.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as a protagonist in creative work.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as a protagonist in creative work.,response,>,Generate,Generate
Luke Cage was featured as a protagonist in creative work.,response,Netflix,Luke Cage,released
Luke Cage was featured as a protagonist in creative work.,response,which,Luke Cage,stars
Luke Cage was featured as a protagonist in creative work.,response,which,Mike Colter,stars
Luke Cage was featured as a protagonist in creative work.,response,which,Black Panther,features
Luke Cage was featured as a protagonist in creative work.,response,which,Luke Cage,features
Luke Cage was featured as a protagonist of a comic book.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as a protagonist of a comic book.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as a protagonist of a comic book.,response,>,Generate,Generate
Luke Cage was featured as the title character of a comic book.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as the title character of a comic book.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as the title character of a comic book.,response,>,Generate,Generate
Luke Cage did not team up with Iron Fist.,wiki,Bendis,Luke Cage,added
Luke Cage did not team up with Iron Fist.,wiki,Bendis,Luke Cage,added
Luke Cage did not team up with Iron Fist.,response,>,Generate,Generate
Luke Cage was featured as the title character of a creative work.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as the title character of a creative work.,wiki,Bendis,Luke Cage,added
Luke Cage was featured as the title character of a creative work.,response,>,Generate,Generate
Luke Cage was featured as the title character of a creative work.,response,show,Luke Cage,follows
Muscarinic acetylcholine receptors are recognized as mAChRs.,response,>,Generate,Generate
Muscarinic acetylcholine receptors are recognized as mAChRs.,response,researchers,the early 1960s,identified
Muscarinic acetylcholine receptors are recognized as mAChRs.,response,subtypes,M1,include
Muscarinic acetylcholine receptors form cell complexes.,response,>,Generate,Generate
Muscarinic acetylcholine receptors are actylcholine receptors.,response,>,Generate,Generate
Muscarinic acetylcholine receptors exist in the cell membranes of other cells.,response,>,Generate,Generate
Muscarinic acetylcholine receptors are known as cell receptors.,response,>,Generate,Generate
Muscarinic acetylcholine receptors are barely known as mAChRs.,response,>,Generate,Generate
"Fortunes of War caused the marriage of two actors, Kenneth Branagh and Emma Thompson.",wiki,It,Kenneth Branagh,stars
"Fortunes of War caused the marriage of two actors, Kenneth Branagh and Emma Thompson.",wiki,members,Ronald Pickup,included
"Fortunes of War caused the marriage of two actors, Kenneth Branagh and Emma Thompson.",wiki,It,Kenneth Branagh,stars
"Fortunes of War caused the marriage of two actors, Kenneth Branagh and Emma Thompson.",wiki,members,Ronald Pickup,included
"Fortunes of War caused the marriage of two actors, Kenneth Branagh and Emma Thompson.",response,>,Generate,Generate
Fortunes of War stars an actress.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars an actress.,wiki,members,Ronald Pickup,included
Fortunes of War stars an actress.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars an actress.,wiki,members,Ronald Pickup,included
Fortunes of War stars an actress.,response,>,Generate,Generate
Fortunes of War stars Kenneth Branagh.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars Kenneth Branagh.,wiki,members,Ronald Pickup,included
Fortunes of War stars Kenneth Branagh.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars Kenneth Branagh.,wiki,members,Ronald Pickup,included
Fortunes of War stars Kenneth Branagh.,response,>,Generate,Generate
The marriage of two actors was caused by Fortunes of War.,wiki,It,Kenneth Branagh,stars
The marriage of two actors was caused by Fortunes of War.,wiki,members,Ronald Pickup,included
The marriage of two actors was caused by Fortunes of War.,wiki,It,Kenneth Branagh,stars
The marriage of two actors was caused by Fortunes of War.,wiki,members,Ronald Pickup,included
The marriage of two actors was caused by Fortunes of War.,response,>,Generate,Generate
Fortunes of War caused the union of two actors.,wiki,It,Kenneth Branagh,stars
Fortunes of War caused the union of two actors.,wiki,members,Ronald Pickup,included
Fortunes of War caused the union of two actors.,wiki,It,Kenneth Branagh,stars
Fortunes of War caused the union of two actors.,wiki,members,Ronald Pickup,included
Fortunes of War caused the union of two actors.,response,>,Generate,Generate
Fortunes of War caused the union of two actors.,response,that,Fortunes of War,supports
Kenneth Branagh stars in Fortunes of War.,wiki,It,Kenneth Branagh,stars
Kenneth Branagh stars in Fortunes of War.,wiki,members,Ronald Pickup,included
Kenneth Branagh stars in Fortunes of War.,wiki,It,Kenneth Branagh,stars
Kenneth Branagh stars in Fortunes of War.,wiki,members,Ronald Pickup,included
Kenneth Branagh stars in Fortunes of War.,response,>,Generate,Generate
Fortunes of War stars the actor Kenneth Branagh.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars the actor Kenneth Branagh.,wiki,members,Ronald Pickup,included
Fortunes of War stars the actor Kenneth Branagh.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars the actor Kenneth Branagh.,wiki,members,Ronald Pickup,included
Fortunes of War stars the actor Kenneth Branagh.,response,>,Generate,Generate
Fortunes of War stars the actor Kenneth Branagh.,response,Fortunes,Kenneth Branagh,stars
Fortunes of War stars the actor Kenneth Branagh.,response,that,Fortunes of War,features
Fortunes of War stars the actor Kenneth Branagh.,response,that,Kenneth Branagh,features
Fortunes of War stars the actress Emma Thompson.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars the actress Emma Thompson.,wiki,members,Ronald Pickup,included
Fortunes of War stars the actress Emma Thompson.,wiki,It,Kenneth Branagh,stars
Fortunes of War stars the actress Emma Thompson.,wiki,members,Ronald Pickup,included
Fortunes of War stars the actress Emma Thompson.,response,>,Generate,Generate
Fortunes of War stars the actress Emma Thompson.,response,who,Emma Thompson,played
Raees (film) stars an Indian actor.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars an Indian actor.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars an Indian actor.,response,>,Generate,Generate
Raees (film) stars an Indian film actor born in 1965.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars an Indian film actor born in 1965.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars an Indian film actor born in 1965.,response,>,Generate,Generate
Raees (film) stars an Indian film actor born in 1965.,response,I,AI,'m
Raees (film) stars an Indian film actor born in 1965.,response,film,Shah Rukh Khan,stars
Raees (film) stars an Indian film actor born in 1965.,response,film,Nawazuddin Siddiqui,features
Raees (film) features Nawazuddin Siddiqui in a lead role.,wiki,It,Shah Rukh Khan,stars
Raees (film) features Nawazuddin Siddiqui in a lead role.,wiki,It,Shah Rukh Khan,stars
Raees (film) features Nawazuddin Siddiqui in a lead role.,response,>,Generate,Generate
Raees (film) features Nawazuddin Siddiqui in a lead role.,response,Statement,Nawazuddin Siddiqui,features
Raees (film) features Nawazuddin Siddiqui in a lead role.,response,statement,Nawazuddin Siddiqui,features
Raees (film) features Nawazuddin Siddiqui in a lead role.,response,film,Shah Rukh Khan,stars
Raees (film) features Nawazuddin Siddiqui in a lead role.,response,statement,Nawazuddin Siddiqui,features
Raees (film) prominently features an Indian movie actor who was born in 1965.,wiki,It,Shah Rukh Khan,stars
Raees (film) prominently features an Indian movie actor who was born in 1965.,wiki,It,Shah Rukh Khan,stars
Raees (film) prominently features an Indian movie actor who was born in 1965.,response,>,Generate,Generate
Raees (film) stars a Pakistani person.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars a Pakistani person.,wiki,It,Shah Rukh Khan,stars
Raees (film) stars a Pakistani person.,response,>,Generate,Generate
Raees (film) stars a Pakistani person.,response,that,Raees,stars
Raees (film) stars a Pakistani person.,response,I,AI,'m
The State of Palestine claims the West Bank.,response,>,Generate,Generate
The State of Palestine claims the West Bank.,response,State,the West Bank,claims
The State of Palestine claims the West Bank.,response,State,the West Bank,claims
The State of Palestine claims the West Bank.,response,State,the West Bank,claims
The State of Palestine claims the West Bank.,response,that,Israel,borders
The State of Palestine claims the West Bank.,response,Israel,1967,captured
The State of Palestine claims the West Bank.,response,which,the Palestine Liberation Organization,represented
The State of Palestine claims the West Bank.,response,Organization,the State of Palestine's,asserted
The State of Palestine claims the West Bank.,response,State,the West Bank,claims
The State of Palestine lays claim to the Gaza Strip.,response,>,Generate,Generate
The State of Palestine lays claim to the West Bank.,response,>,Generate,Generate
The State of Palestine lays claim to the West Bank.,response,which,the Palestine Liberation Organization,represents
The State of Palestine lays claim to the West Bank.,response,which,the United Nations,granted
The State of Palestine lays claim to the West Bank.,response,ICC,the State of Palestine's,accepted
The State of Palestine lays claim to the West Bank.,response,Israel,the State of Palestine's,disputed
The State of Palestine lays claim to the West Bank.,response,Israel,the State of Palestine,disputes
The State of Palestine lays claim to a region in Western Asia.,response,>,Generate,Generate
The State of Palestine lays claim to a region in Western Asia.,response,that,the Gaza Strip,encompasses
The State of Palestine lays claim to a region in Western Asia.,response,which,the Palestine Liberation Organization,represented
The State of Palestine lays claim to a region in Western Asia.,response,Court,the State of Palestine,recognized
The State of Palestine lays claim to a region in Western Asia.,response,territory,the Gaza Strip,includes
The State of Palestine lays claim to a region on the eastern coast of the Mediterranean Sea.,response,>,Generate,Generate
The State of Palestine lays claim to a region on the eastern coast of the Mediterranean Sea.,response,who,British,established
The State of Palestine lays claim to a region on the eastern coast of the Mediterranean Sea.,response,who,the Mandate for Palestine,established
The State of Palestine lays claim to a region on the eastern coast of the Mediterranean Sea.,response,Nations,the end of,took
The State of Palestine claims the Gaza Strip and is contested.,response,>,Generate,Generate
The State of Palestine claims the Gaza Strip and is contested.,response,State,the Gaza Strip,claims
The State of Palestine claims the Gaza Strip and is contested.,response,State,the Gaza Strip,claims
The State of Palestine claims the Gaza Strip and is contested.,response,which,the Gaza Strip,is
The State of Palestine claims the Gaza Strip and is contested.,response,which,Israel,occupied
The State of Palestine claims the Gaza Strip and is contested.,response,which,the Gaza Strip,occupied
The State of Palestine claims the Gaza Strip and is contested.,response,which,the Palestine Liberation Organization,represents
The State of Palestine claims the Gaza Strip and is contested.,response,Organization,the State of Palestine,declared
The State of Palestine claims the Gaza Strip and is contested.,response,which,the State of Palestine,includes
The State of Palestine claims the Gaza Strip and is contested.,response,which,the Gaza Strip,includes
The State of Palestine claims the Gaza Strip and is contested.,response,Hamas,the Gaza Strip,controlled
Colin Kaepernick became a starter in the National Football League.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick became a starter in the National Football League.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick became a starter in the National Football League.,response,>,Generate,Generate
Colin Kaepernick is a person who plays football.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a person who plays football.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a person who plays football.,response,>,Generate,Generate
Colin Kaepernick is quarterback for the 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is quarterback for the 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is quarterback for the 49ers.,response,>,Generate,Generate
Colin Kaepernick is quarterback for the 49ers.,response,I,AI,'m
Colin Kaepernick was quarterback backup to Alex Smith.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick was quarterback backup to Alex Smith.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick was quarterback backup to Alex Smith.,response,>,Generate,Generate
Colin Kaepernick was quarterback backup to Alex Smith.,response,who,Smith,was
Colin Kaepernick was quarterback backup to Alex Smith.,response,49ers,the Super Bowl,reach
Colin Kaepernick was quarterback backup to Alex Smith.,response,he,today,is
Colin Kaepernick is a football player.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a football player.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a football player.,response,>,Generate,Generate
Colin Kaepernick is a football player.,response,Network,Kaepernick,ranks
Colin Kaepernick is a starter for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a starter for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a starter for the San Francisco 49ers.,response,>,Generate,Generate
Colin Kaepernick is a starting quarterback for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a starting quarterback for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a starting quarterback for the San Francisco 49ers.,response,>,Generate,Generate
Colin Kaepernick starts for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick starts for the San Francisco 49ers.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick starts for the San Francisco 49ers.,response,>,Generate,Generate
Colin Kaepernick starts for the San Francisco 49ers.,response,Kaepernick,49ers,led
Colin Kaepernick is a person.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a person.,wiki,49ers,the NFC Championship,reach
Colin Kaepernick is a person.,response,>,Generate,Generate
Colin Kaepernick is a person.,response,he,the University of Wisconsin,played
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,wiki,49ers,the NFC Championship,reach
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,wiki,49ers,the NFC Championship,reach
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,response,>,Generate,Generate
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,response,49ers,their 63rd season,began
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,response,that,Alex Smith,included
During the 49ers 63rd season in the National Football League Colin Kaepernick became a starter.,response,they,a Super Bowl,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,response,>,Generate,Generate
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,response,they,1974-75 season,made
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,response,they,Borussia Dortmund 1-0,defeated
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,response,>,Generate,Generate
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,response,club,the FA Cup,won
Tottenham Hotspur F.C. won a UEFA club competition in the sixties.,response,Hotspur,one,won
Tottenham Hotspur F.C. is a football club.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is a football club.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is a football club.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is a football club.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is a football club.,response,>,Generate,Generate
Tottenham Hotspur F.C. is European.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is European.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is European.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is European.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is European.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is European.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is European.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is European.,response,>,Generate,Generate
Tottenham Hotspur F.C. is European.,response,which,England,is
Tottenham Hotspur F.C. is British.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is British.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is British.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is British.,wiki,home,Wembley Stadium,be
Tottenham Hotspur F.C. is British.,wiki,Tottenham,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,Spurs,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,Tottenham,the League Cup,won
Tottenham Hotspur F.C. is British.,wiki,club,the FA Cup,won
Tottenham Hotspur F.C. is British.,wiki,they,the League Cup,won
Tottenham Hotspur F.C. is British.,response,>,Generate,Generate
Roswell was by Jason Katims.,wiki,who,Laura J. Burns,became
Roswell was by Jason Katims.,wiki,who,Laura J. Burns,became
Roswell was by Jason Katims.,response,>,Generate,Generate
Roswell was by Jason Katims.,response,which,Roswell,be
Roswell was by Jason Katims.,response,which,Roswell,sparked
Roswell is an American TV series.,wiki,who,Laura J. Burns,became
Roswell is an American TV series.,wiki,who,Laura J. Burns,became
Roswell is an American TV series.,response,>,Generate,Generate
Roswell is an American TV series.,response,who,Max Evans,are
Roswell is an American TV series.,response,who,Michael Guerin,are
Roswell is an American TV series.,response,who,Alex Whitman,are
Roswell is an American TV series.,response,cast,Katherine Heigl,includes
Roswell is an American TV series.,response,stars,Majandra Delfino,include
Jason Katims is credited as Roswell's producer.,wiki,who,Laura J. Burns,became
Jason Katims is credited as Roswell's producer.,wiki,who,Laura J. Burns,became
Jason Katims is credited as Roswell's producer.,response,>,Generate,Generate
Jason Katims is credited as Roswell's producer.,response,page,Katims,lists
Jason Katims is credited as Roswell's producer.,response,section,Katims,lists
Jason Katims is credited as Roswell's producer.,response,section,Katims,lists
Roswell was developed by Jason Katims.,wiki,who,Laura J. Burns,became
Roswell was developed by Jason Katims.,wiki,who,Laura J. Burns,became
Roswell was developed by Jason Katims.,response,>,Generate,Generate
Roswell was developed by Jason Katims.,response,I,AI,'m
Acting is a profession of Fred Armisen.,response,>,Generate,Generate
Acting is a profession of Fred Armisen.,response,he,Portlandia,co
Acting is a profession of Fred Armisen.,response,he,The Dictator,played
Acting is a profession of Fred Armisen.,response,which,Armisen,released
Acting is a profession of Fred Armisen.,response,which,The Fred Armisen Band,released
Comedy is something performed by Fred Armisen.,response,>,Generate,Generate
There is a screenwriter by the name of Fred Armisen.,response,>,Generate,Generate
Fred Armisen is a screenwriter.,response,>,Generate,Generate
Fred Armisen is a screenwriter.,response,I,AI,'m
The Battle of France was fought during the Second World War.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was fought during the Second World War.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was fought during the Second World War.,wiki,forces,Paris,occupied
The Battle of France was fought during the Second World War.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was fought during the Second World War.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was fought during the Second World War.,wiki,forces,Paris,occupied
The Battle of France was fought during the Second World War.,response,>,Generate,Generate
The Battle of France was fought during the Second World War.,response,Germany,"September 1, 1939",invaded
The Battle of France was fought during the Second World War.,response,Germany,Poland,invaded
The Battle of France was fought during the Second World War.,response,Germany,"May 10, 1940",launched
The Battle of France was fought during the Second World War.,response,Germany,"September 1, 1939",invaded
The Battle of France was fought during the Second World War.,response,Germany,Poland,invaded
The Battle of France was fought during the Second World War.,response,which,The Soviet Union,signed
The Battle of France was fought during the Second World War.,response,Union,Poland,invaded
The Battle of France was the German invasion of France.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was the German invasion of France.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was the German invasion of France.,wiki,forces,Paris,occupied
The Battle of France was the German invasion of France.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was the German invasion of France.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was the German invasion of France.,wiki,forces,Paris,occupied
The Battle of France was the German invasion of France.,response,>,Generate,Generate
The Battle of France was the German invasion of France.,response,which,France,had
The Battle of France was the German invasion of France.,response,Germany,France,invaded
The Battle of France was a German invasion.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was a German invasion.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was a German invasion.,wiki,forces,Paris,occupied
The Battle of France was a German invasion.,wiki,forces,Fall Rot -LRB- Case Red -RRB-,began
The Battle of France was a German invasion.,wiki,tanks,the Maginot Line,outflanked
The Battle of France was a German invasion.,wiki,forces,Paris,occupied
The Battle of France was a German invasion.,response,>,Generate,Generate
The Battle of France was a German invasion.,response,which,Sichelschnitt,involved
The Battle of France was a German invasion.,response,that,Sichelschnitt,split
The Battle of France was a German invasion.,response,forces,10 May 1940,launched
The Battle of France was a German invasion.,response,attack,French,caught
The Battle of France was a German invasion.,response,forces,the English Channel,reached
The Battle of France was a German invasion.,response,Germans,Paris,captured
The Battle of France was a German invasion.,response,it,the end of the Third Republic,marked
